StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Please pick an item,Find_location_1_control,Find_location_2_control,Please pick an item,Find Location_1,Find Location_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,Do you have Amazon Prime,How often do you shop on Amazon?,What is your estimated weekly purchase on Amazon?,How do you decide which product to get after browsing on Amazon?,How many items will you usually browse and compare before purchasing? Let's say toilet paper.,Do you use the Save to Favorite or Shopping Cart functionality often at every purchase?,Have you picked out your choice?,Find location - Row Number,Find location - Column Number,Have you picked out your choice?,Find Location - Row Number,Find Location - Column Number
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}"
2024-02-18 15:00:22,2024-02-18 15:00:47,Survey Preview,,100,24,TRUE,2024-02-18 15:00:48,R_55KfZMVAZZ6z54q,,,,,40.1678,-80.2591,preview,EN,,,,,,,,,,,,,,
2024-02-18 15:08:09,2024-02-18 15:09:49,Survey Preview,,100,100,TRUE,2024-02-18 15:09:50,R_5qOP6xl9gj2b0rw,,,,,40.1678,-80.2591,preview,EN,,,,,,,,,,,,,,
2024-02-18 15:57:59,2024-02-18 15:59:08,Survey Preview,,100,68,TRUE,2024-02-18 15:59:09,R_34Oeh14q9tqiF8k,,,,,40.4442,-79.9557,preview,EN,Under 20,Male,No,"Occasionally, depends on mood",Under $10,I will compare between prices and brands,2-5,I use both very often,,4,4,,,
2024-02-18 16:05:43,2024-02-18 16:06:11,Survey Preview,,100,28,TRUE,2024-02-18 16:06:12,R_3J47G7XHoyKkl6g,,,,,40.4725,-79.9109,preview,EN,,,,,,,,,,,,,,
2024-02-18 17:43:09,2024-02-18 17:43:44,Survey Preview,,100,35,TRUE,2024-02-18 17:43:45,R_5g1MKOJxUw67Rit,,,,,40.1678,-80.2591,preview,EN,,,,,,,,,,,,,,
2024-02-18 17:44:18,2024-02-18 17:50:22,IP Address,74.109.251.50,100,364,TRUE,2024-02-18 17:50:23,R_1DAuvcz6GUNGcW6,,,,,40.1678,-80.2591,anonymous,EN,,,,,,,,,,,,,,
2024-02-18 17:50:25,2024-02-18 17:54:19,IP Address,74.109.251.50,100,233,TRUE,2024-02-18 17:54:19,R_660f8aLwdZkN2FP,,,,,40.1678,-80.2591,anonymous,EN,,,,,,,,,,,,,,
2024-02-18 17:54:48,2024-02-18 17:55:55,IP Address,74.109.251.50,100,66,TRUE,2024-02-18 17:55:55,R_1Y1TesWOla6DNiV,,,,,40.1678,-80.2591,anonymous,EN,,,,,,,,,,,,,,
2024-02-19 22:55:36,2024-02-19 22:55:53,IP Address,98.236.77.187,100,16,TRUE,2024-02-19 22:55:53,R_1JZsq1WHXC3vqql,,,,,40.4324,-79.9247,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 09:40:46,2024-02-20 09:41:21,Survey Preview,,100,35,TRUE,2024-02-20 09:41:22,R_5ISILW9ixOeCKns,,,,,40.4442,-79.9557,preview,EN,,,,,,,,,,,,,,
2024-02-20 09:41:28,2024-02-20 09:42:45,Survey Preview,,100,77,TRUE,2024-02-20 09:42:46,R_5meNrcrYA7ZYfHT,,,,,40.4442,-79.9557,preview,EN,,,,,,,,,,,,,,
2024-02-20 09:46:53,2024-02-20 09:47:10,IP Address,76.125.201.200,100,17,TRUE,2024-02-20 09:47:11,R_6yQcUyOhe9w4v9n,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 09:47:16,2024-02-20 09:47:33,IP Address,76.125.201.200,100,17,TRUE,2024-02-20 09:47:34,R_3fMM1Lq6s6jqgIi,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 09:47:36,2024-02-20 09:47:46,IP Address,76.125.201.200,100,10,TRUE,2024-02-20 09:47:47,R_5Q0lVX6CrdQC6T9,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 09:47:49,2024-02-20 09:48:06,IP Address,76.125.201.200,100,16,TRUE,2024-02-20 09:48:06,R_7isVyCS5jKROwXk,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
2024-02-20 09:48:46,2024-02-20 09:48:59,Survey Preview,,100,12,TRUE,2024-02-20 09:48:59,R_5x3MQBip3Mekm2J,,,,,40.4442,-79.9557,preview,EN,,,,,,,,,,,,,,
2024-02-20 09:49:03,2024-02-20 09:49:17,Survey Preview,,100,14,TRUE,2024-02-20 09:49:18,R_5rOrH1SLfZ0JhiK,,,,,40.4442,-79.9557,preview,EN,,,,,,,,,,,,,,
2024-02-20 09:49:34,2024-02-20 09:49:59,IP Address,76.125.201.200,100,24,TRUE,2024-02-20 09:49:59,R_7lJsE2pwORvNLd5,,,,,40.4442,-79.9557,anonymous,EN,,,,,,,,,,,,,,
