,Column_picked_groupA,Column_picked_groupB,Row_picked_groupA,Row_picked_groupB,age,amazon_prime,browse_items,buy_amazon_freq,choose_labeled,compare_items,expense_per_order,gender,treat,shopping_cart_I only use Shopping Cart,shopping_cart_I use both very often
0,0,3,0,2,4,1.0,3.5,7.0,False,4,4,1,True,0,1
1,5,0,2,0,4,1.0,10.0,1.0,False,4,2,1,False,1,0
2,0,3,0,1,2,1.0,3.5,0.2,True,4,2,0,True,1,0
3,5,0,5,0,2,0.0,1.0,0.0,False,1,2,0,False,1,0
4,0,2,0,1,2,1.0,1.0,0.2,True,3,2,1,True,1,0
5,5,0,2,0,2,1.0,1.0,1.0,False,3,2,0,False,0,1
6,5,0,1,0,2,1.0,1.0,1.0,False,2,5,0,False,1,0
7,0,4,0,1,2,1.0,3.5,0.2,True,4,2,0,True,1,0
8,0,3,0,1,2,1.0,10.0,0.2,True,4,1,0,True,1,0
9,1,0,3,0,2,1.0,10.0,1.0,False,4,2,1,False,1,0
10,0,1,0,3,2,1.0,3.5,1.0,False,4,2,0,True,1,0
11,2,0,2,0,2,1.0,3.5,1.0,True,4,2,0,False,1,0
12,0,4,0,1,2,1.0,3.5,1.0,True,4,3,0,True,1,0
13,5,0,1,0,3,0.0,3.5,0.0,False,4,1,0,False,1,0
14,0,1,0,1,2,1.0,3.5,1.0,True,4,2,0,True,1,0
15,3,0,2,0,1,1.0,3.5,0.2,True,4,2,0,False,1,0
16,4,0,1,0,1,1.0,3.5,0.0,False,4,1,0,False,1,0
17,0,4,0,1,2,1.0,10.0,0.2,True,4,2,1,True,1,0
18,2,0,2,0,2,1.0,3.5,7.0,True,4,2,1,False,0,0
19,0,2,0,2,2,1.0,3.5,0.2,False,4,2,0,True,0,0
20,3,0,2,0,2,1.0,3.5,0.2,True,4,1,0,False,1,0
21,0,2,0,3,3,1.0,3.5,0.2,False,4,2,0,True,1,0
22,1,0,1,0,2,1.0,3.5,0.0,True,5,1,1,False,1,0
23,0,3,0,2,2,1.0,3.5,1.0,False,2,2,1,True,1,0
24,1,0,3,0,2,1.0,1.0,1.0,False,3,2,0,False,1,0
25,0,1,0,1,2,1.0,3.5,0.2,True,4,2,0,True,0,1
26,0,3,0,2,2,1.0,3.5,0.2,False,4,1,0,True,0,1
27,5,0,2,0,2,1.0,3.5,0.2,False,5,1,0,False,0,1
28,0,2,0,1,3,1.0,3.5,0.2,True,3,1,0,True,1,0
29,2,0,0,0,2,1.0,3.5,0.0,False,4,1,0,False,0,1
30,0,4,0,3,2,0.5,10.0,0.2,False,4,2,1,True,1,0
31,3,0,2,0,2,0.0,3.5,0.2,True,4,2,0,False,1,0
32,2,0,1,0,2,1.0,3.5,0.0,True,4,1,0,False,1,0
33,0,4,0,1,3,0.0,3.5,0.2,True,1,1,1,True,1,0
34,5,0,2,0,4,1.0,3.5,7.0,False,3,4,0,False,0,1
35,2,0,2,0,2,1.0,3.5,0.2,True,4,1,0,False,1,0
36,0,1,0,1,2,0.0,3.5,0.0,True,4,1,0,True,1,0
37,2,0,2,0,2,0.0,3.5,0.2,True,4,1,0,False,1,0
38,0,3,0,1,2,1.0,3.5,7.0,True,2,4,0,True,0,0
39,0,3,0,1,2,1.0,10.0,0.0,True,4,1,1,True,1,0
40,1,0,2,0,3,1.0,10.0,0.2,True,4,1,1,False,1,0
41,1,0,2,0,3,1.0,3.5,0.2,True,4,1,1,False,0,1
42,0,3,0,1,3,1.0,3.5,0.2,True,4,1,0,True,0,1
43,0,0,3,0,3,1.0,3.5,0.2,False,4,1,0,False,1,0
44,0,4,0,1,2,1.0,3.5,0.2,True,5,1,0,True,1,0
